stock_1,stock_2,mi_value
CPRT,FIX,2.419333534192763
AJG,WST,2.418621364970001
MA,SPGI,2.4186042427386476
LNT,WEC,2.418405123695118
APH,ISRG,2.418355599318291
ADBE,CTAS,2.4180894780039983
AMAT,MPWR,2.4178444460109807
PGR,SYK,2.41777696624035
GRMN,MA,2.417700755819507
AAPL,PGR,2.4175700873634542
BSX,RSG,2.4172094980253807
ACGL,AJG,2.416967153846362
CDNS,NDAQ,2.416807055225143
MA,WM,2.416664870113337
MSFT,ROP,2.416583800497257
COST,FIX,2.416438994268848
AVGO,MA,2.4163701131001183
FAST,NVDA,2.416161127724367
TDG,WM,2.416117191322006
FICO,PAYC,2.415565794225424
FAST,TT,2.4154755709991957
APO,MSI,2.415352171398219
AMZN,GOOG,2.415153304319851
MCO,NDAQ,2.4151373690037934
ADP,MRSH,2.415082599326059
AAPL,AVGO,2.414806296168547
FISV,PGR,2.4146819071386707
MPWR,PGR,2.4144254583925453
V,WM,2.4143992790366777
HD,RSG,2.41423936019999
LIN,SNPS,2.4141237681728906
ACN,AJG,2.413872261297554
AON,MSFT,2.4137074860385814
BR,V,2.4133157430391763
NVDA,TDG,2.413068028766057
CDNS,ISRG,2.412750542617686
GOOG,MSI,2.412706441714052
ICE,PGR,2.4126921271107373
MSI,SPGI,2.4126368945638603
PAYX,WM,2.4124570616668617
LIN,WM,2.4121130801921735
AVGO,GRMN,2.4118597302421767
TT,V,2.411556535881677
CDW,MSFT,2.411463976613318
AVGO,ETN,2.411364689079127
LRCX,SNPS,2.4110152932355167
PGR,SPGI,2.410924757775801
APH,EME,2.4109143602919385
APH,GOOG,2.410828125679569
APH,MA,2.41068991605835
KKR,NVDA,2.4105255176127605
ORCL,RSG,2.4096982397011764
AME,ITW,2.4094214657434727
KLAC,MRSH,2.4092646014499595
CDNS,TDG,2.4091805581433468
AME,RSG,2.409063897526492
AJG,ALL,2.409036306918545
INTU,PGR,2.409016798524589
AEP,ETR,2.408727273260067
CAT,ETN,2.408444036052389
DHR,TMO,2.4083608149987352
PGR,ROL,2.408296950063429
DTE,LNT,2.4081812520060693
MSFT,POOL,2.4081498813561404
EME,TT,2.4079215552210242
BRK-B,MSI,2.4078392935962922
NOW,NVDA,2.4078196199454895
ISRG,MSI,2.4077100439051846
AVGO,LIN,2.407476084554096
AJG,ODFL,2.4074139601913593
AVGO,WM,2.407380443654766
BR,MA,2.407345802466653
AAPL,ARES,2.4072709406412574
COST,KLAC,2.407153287350159
AZO,CTAS,2.4067988545468415
BRO,GOOG,2.4065375957770314
BRK-B,RSG,2.4058448157629475
